Date : 2024-11-08 09:39:50
Directory : ./src
Total : 2407 files,  175638 codes, 34304 comments, 12556 blanks, all 222498 lines, 16.34% comment rate

Languages
+----------------+------------+------------+------------+------------+------------+--------------+
| language       | files      | code       | comment    | blank      | total      | comment rate |
| pages/credit/establish/index.less                                                                        | Less           |         15 |          0 |          1 |         16 |        0.00% |
| pages/credit/establish/store.js                                                                          | JavaScript     |         47 |          3 |          3 |         53 |        6.00% |
| pages/credit/review/EditModal/index.js                                                                   | JavaScript     |         86 |          0 |         10 |         96 |        0.00% |
| pages/credit/review/api.js                                                                               | JavaScript     |         32 |          3 |          4 |         39 |        8.57% |
| pages/credit/review/detail/BaseInfo.js                                                                   | JavaScript     |         43 |          0 |          5 |         48 |        0.00% |
| pages/credit/review/detail/Data/DataTable.js                                                             | JavaScript     |        112 |          0 |          8 |        120 |        0.00% |
| pages/credit/review/detail/Data/UploadModal.js                                                           | JavaScript     |         50 |          0 |          6 |         56 |        0.00% |
| pages/credit/review/detail/Data/api.js                                                                   | JavaScript     |         29 |          0 |          2 |         31 |        0.00% |
| pages/credit/review/detail/Data/index.js                                                                 | JavaScript     |         21 |          0 |          4 |         25 |        0.00% |
| pages/credit/review/detail/Data/store.js                                                                 | JavaScript     |         70 |          0 |          4 |         74 |        0.00% |
| pages/credit/review/detail/Report/api.js                                                                 | JavaScript     |         20 |          0 |          2 |         22 |        0.00% |
| pages/credit/review/detail/Report/index.js                                                               | JavaScript     |         45 |          4 |          3 |         52 |        8.16% |
| pages/credit/review/detail/Report/index.less                                                             | Less           |          7 |          0 |          1 |          8 |        0.00% |
| pages/credit/review/detail/[id$].js                                                                      | JavaScript     |        120 |          2 |          8 |        130 |        1.64% |
| pages/credit/review/detail/api.js                                                                        | JavaScript     |          8 |          0 |          2 |         10 |        0.00% |
| pages/credit/review/detail/index.less                                                                    | Less           |        154 |          2 |          3 |        159 |        1.28% |
| pages/credit/review/detail/log/[id$].js                                                                  | JavaScript     |         39 |          0 |          4 |         43 |        0.00% |
| pages/credit/review/detail/log/api.js                                                                    | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/credit/review/detail/log/diffInfo/[id$].js                                                         | JavaScript     |         78 |          0 |          5 |         83 |        0.00% |
| pages/credit/review/detail/log/diffInfo/index.less                                                       | Less           |         57 |          1 |          3 |         61 |        1.72% |
| pages/credit/review/detail/log/diffInfo/store.js                                                         | JavaScript     |         19 |          0 |          6 |         25 |        0.00% |
| pages/credit/review/detail/log/index.less                                                                | Less           |          0 |          0 |          1 |          1 |        0.00% |
| pages/credit/review/detail/log/store.js                                                                  | JavaScript     |         22 |          1 |          2 |         25 |        4.35% |
| pages/credit/review/detail/store.js                                                                      | JavaScript     |         71 |          2 |          8 |         81 |        2.74% |
| pages/credit/review/index.js                                                                             | JavaScript     |        100 |          1 |          5 |        106 |        0.99% |
| pages/credit/review/store.js                                                                             | JavaScript     |         34 |          0 |          4 |         38 |        0.00% |
| pages/creditTable/Column.js                                                                              | JavaScript     |         55 |          0 |          3 |         58 |        0.00% |
| pages/creditTable/Components/EditButton.js                                                               | JavaScript     |        140 |          6 |          5 |        151 |        4.11% |
| pages/creditTable/Components/Reason.js                                                                   | JavaScript     |         38 |          1 |          4 |         43 |        2.56% |
| pages/creditTable/Components/StautsRender.js                                                             | JavaScript     |         23 |          0 |          2 |         25 |        0.00% |
| pages/creditTable/Tab/BaoZheng/api.js                                                                    | JavaScript     |          4 |          0 |          2 |          6 |        0.00% |
| pages/creditTable/Tab/BaoZheng/index.js                                                                  | JavaScript     |        124 |          0 |          5 |        129 |        0.00% |
| pages/creditTable/Tab/BaoZheng/store.js                                                                  | JavaScript     |         49 |          1 |          2 |         52 |        2.00% |
| pages/creditTable/Tab/DiYa/api.js                                                                        | JavaScript     |          4 |          0 |          2 |          6 |        0.00% |
| pages/creditTable/Tab/DiYa/index.js                                                                      | JavaScript     |        175 |          0 |          5 |        180 |        0.00% |
| pages/creditTable/Tab/DiYa/store.js                                                                      | JavaScript     |         49 |          1 |          3 |         53 |        2.00% |
| pages/creditTable/Tab/HuanKuan/api.js                                                                    | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/creditTable/Tab/HuanKuan/index.js                                                                  | JavaScript     |        109 |          0 |          5 |        114 |        0.00% |
| pages/creditTable/Tab/HuanKuan/store.js                                                                  | JavaScript     |         44 |          1 |          2 |         47 |        2.22% |
| pages/creditTable/Tab/JiaoYi/api.js                                                                      | JavaScript     |          6 |          0 |          2 |          8 |        0.00% |
| pages/creditTable/Tab/JiaoYi/index.js                                                                    | JavaScript     |        134 |          0 |          5 |        139 |        0.00% |
| pages/creditTable/Tab/JiaoYi/store.js                                                                    | JavaScript     |         49 |          1 |          2 |         52 |        2.00% |
| pages/creditTable/Tab/KuHu/api.js                                                                        | JavaScript     |          4 |          0 |          2 |          6 |        0.00% |
| pages/creditTable/Tab/KuHu/index.js                                                                      | JavaScript     |        149 |          0 |          5 |        154 |        0.00% |
| pages/creditTable/Tab/KuHu/store.js                                                                      | JavaScript     |         48 |          1 |          2 |         51 |        2.04% |
| pages/creditTable/Tab/Level5/CreateModal/index.js                                                        | JavaScript     |         59 |          1 |          4 |         64 |        1.67% |
| pages/creditTable/Tab/Level5/DeleteModal.js                                                              | JavaScript     |         16 |          0 |          5 |         21 |        0.00% |
| pages/creditTable/Tab/Level5/api.js                                                                      | JavaScript     |          9 |          0 |          2 |         11 |        0.00% |
| pages/creditTable/Tab/Level5/index.js                                                                    | JavaScript     |        118 |          0 |          5 |        123 |        0.00% |
| pages/creditTable/Tab/Level5/store.js                                                                    | JavaScript     |         83 |          1 |          4 |         88 |        1.19% |
| pages/creditTable/Tab/YuQi/api.js                                                                        | JavaScript     |          7 |          0 |          2 |          9 |        0.00% |
| pages/creditTable/Tab/YuQi/index.js                                                                      | JavaScript     |        130 |          0 |          5 |        135 |        0.00% |
| pages/creditTable/Tab/YuQi/store.js                                                                      | JavaScript     |         69 |          1 |          2 |         72 |        1.43% |
| pages/creditTable/Tab/ZhangHu/api.js                                                                     | JavaScript     |          6 |          0 |          2 |          8 |        0.00% |
| pages/creditTable/Tab/ZhangHu/index.js                                                                   | JavaScript     |        173 |          0 |          7 |        180 |        0.00% |
| pages/creditTable/Tab/ZhangHu/store.js                                                                   | JavaScript     |         53 |          2 |          3 |         58 |        3.64% |
| pages/creditTable/Tab/ZhiYa/api.js                                                                       | JavaScript     |          4 |          0 |          2 |          6 |        0.00% |
| pages/creditTable/Tab/ZhiYa/index.js                                                                     | JavaScript     |        135 |          0 |          5 |        140 |        0.00% |
| pages/creditTable/Tab/ZhiYa/store.js                                                                     | JavaScript     |         49 |          1 |          3 |         53 |        2.00% |
| pages/creditTable/Tab/api.js                                                                             | JavaScript     |          6 |          0 |          2 |          8 |        0.00% |
| pages/creditTable/Tab/config.js                                                                          | JavaScript     |         69 |          0 |          6 |         75 |        0.00% |
| pages/creditTable/Tab/index.js                                                                           | JavaScript     |        112 |          4 |          4 |        120 |        3.45% |
| pages/creditTable/Tab/index.less                                                                         | Less           |         17 |          0 |          1 |         18 |        0.00% |
| pages/creditTable/finish/View/Account/index.js                                                           | JavaScript     |         61 |          0 |          5 |         66 |        0.00% |
| pages/creditTable/finish/View/Batch/index.js                                                             | JavaScript     |         54 |          0 |          3 |         57 |        0.00% |
| pages/creditTable/finish/api.js                                                                          | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/creditTable/finish/index.js                                                                        | JavaScript     |         63 |          0 |          8 |         71 |        0.00% |
| pages/creditTable/finish/store.js                                                                        | JavaScript     |         58 |          0 |          4 |         62 |        0.00% |
| pages/creditTable/wait/index.js                                                                          | JavaScript     |         33 |          0 |          4 |         37 |        0.00% |
| pages/customer/customerRat/Columns.js                                                                    | JavaScript     |         58 |          0 |          5 |         63 |        0.00% |
| pages/customer/customerRat/CreateModal.js                                                                | JavaScript     |         92 |          0 |          5 |         97 |        0.00% |
| pages/customer/customerRat/detail/AdjustmentReport.js                                                    | JavaScript     |         63 |          0 |          3 |         66 |        0.00% |
| pages/customer/customerRat/detail/BaseInfo.js                                                            | JavaScript     |         23 |          0 |          5 |         28 |        0.00% |
| pages/customer/customerRat/detail/HistoryRat.js                                                          | JavaScript     |         26 |          0 |          3 |         29 |        0.00% |
| pages/customer/customerRat/detail/OverturnModal.js                                                       | JavaScript     |         80 |          0 |          4 |         84 |        0.00% |
| pages/customer/customerRat/detail/QualitativeReport.js                                                   | JavaScript     |        128 |          0 |          9 |        137 |        0.00% |
| pages/customer/customerRat/detail/QualitativeScore.js                                                    | JavaScript     |        161 |          1 |          6 |        168 |        0.62% |
| pages/customer/customerRat/detail/QuantitativeReport.js                                                  | JavaScript     |        152 |          2 |          7 |        161 |        1.30% |
| pages/customer/customerRat/detail/QuantitativeScore.js                                                   | JavaScript     |        135 |          0 |         10 |        145 |        0.00% |
| pages/customer/customerRat/detail/RatingAdjustment.js                                                    | JavaScript     |         89 |          0 |          7 |         96 |        0.00% |
| pages/customer/customerRat/detail/Report.js                                                              | JavaScript     |         96 |          1 |          6 |        103 |        1.03% |
| pages/customer/customerRat/detail/[id$].js                                                               | JavaScript     |        131 |          2 |          7 |        140 |        1.50% |
| pages/customer/customerRat/detail/store.ts                                                               | TypeScript     |        178 |          0 |          8 |        186 |        0.00% |
| pages/customer/customerRat/detail/styles.less                                                            | Less           |         35 |          0 |          4 |         39 |        0.00% |
| pages/customer/customerRat/index.js                                                                      | JavaScript     |         98 |          0 |          4 |        102 |        0.00% |
| pages/customer/customerRat/store.js                                                                      | JavaScript     |         98 |          0 |          2 |        100 |        0.00% |
| pages/customer/debtRat/Columns.js                                                                        | JavaScript     |         75 |          0 |          5 |         80 |        0.00% |
| pages/customer/debtRat/CreateModal.js                                                                    | JavaScript     |        146 |          0 |          5 |        151 |        0.00% |
| pages/customer/debtRat/detail/BaseInfo.js                                                                | JavaScript     |         21 |          0 |          5 |         26 |        0.00% |
| pages/customer/debtRat/detail/EditScore.js                                                               | JavaScript     |         38 |          0 |          4 |         42 |        0.00% |
| pages/customer/debtRat/detail/HistoryRat.js                                                              | JavaScript     |         25 |          0 |          3 |         28 |        0.00% |
| pages/customer/debtRat/detail/RatingAdjustment.js                                                        | JavaScript     |         29 |          0 |          4 |         33 |        0.00% |
| pages/customer/debtRat/detail/Report.js                                                                  | JavaScript     |         97 |          2 |          5 |        104 |        2.02% |
| pages/customer/debtRat/detail/ScoreReport.js                                                             | JavaScript     |         68 |          0 |          7 |         75 |        0.00% |
| pages/customer/debtRat/detail/[id$].js                                                                   | JavaScript     |         90 |          2 |          6 |         98 |        2.17% |
| pages/customer/debtRat/detail/store.ts                                                                   | TypeScript     |         96 |          0 |          6 |        102 |        0.00% |
| pages/customer/debtRat/detail/styles.less                                                                | Less           |         32 |          0 |          3 |         35 |        0.00% |
| pages/customer/debtRat/index.js                                                                          | JavaScript     |         70 |          0 |          3 |         73 |        0.00% |
| pages/customer/debtRat/index.less                                                                        | Less           |          4 |          0 |          1 |          5 |        0.00% |
| pages/customer/debtRat/store.js                                                                          | JavaScript     |        100 |          0 |          4 |        104 |        0.00% |
| pages/customer/maintain/ApplyPermissionModal.js                                                          | JavaScript     |         58 |          0 |          4 |         62 |        0.00% |
| pages/customer/maintain/Create.js                                                                        | JavaScript     |         75 |          0 |          3 |         78 |        0.00% |
| pages/customer/maintain/api.js                                                                           | JavaScript     |         41 |          8 |         11 |         60 |       16.33% |
| pages/customer/maintain/applyPermission/BaseInfo.js                                                      | JavaScript     |         24 |          1 |          4 |         29 |        4.00% |
| pages/customer/maintain/applyPermission/Column.js                                                        | JavaScript     |         47 |          0 |          2 |         49 |        0.00% |
| pages/customer/maintain/applyPermission/DataFileList.js                                                  | JavaScript     |         39 |          0 |          3 |         42 |        0.00% |
| pages/customer/maintain/applyPermission/Store.js                                                         | JavaScript     |         44 |          0 |          4 |         48 |        0.00% |
| pages/customer/maintain/applyPermission/[id$].js                                                         | JavaScript     |         34 |          0 |          5 |         39 |        0.00% |
| pages/customer/maintain/applyPermission/api.js                                                           | JavaScript     |         18 |          1 |          4 |         23 |        5.26% |
| pages/customer/maintain/detail/Basic/AddressModal.js                                                     | JavaScript     |        106 |          4 |          2 |        112 |        3.64% |
| pages/customer/maintain/detail/Basic/BankAccount/BankAccountModal.js                                     | JavaScript     |         53 |         11 |          3 |         67 |       17.19% |
| pages/customer/maintain/detail/Basic/BankAccount/api.js                                                  | JavaScript     |         14 |          3 |          3 |         20 |       17.65% |
| pages/customer/maintain/detail/Basic/BankAccount/index.js                                                | JavaScript     |        113 |          6 |          3 |        122 |        5.04% |
| pages/customer/maintain/detail/Basic/BankAccount/store.js                                                | JavaScript     |        116 |          2 |          2 |        120 |        1.69% |
| pages/customer/maintain/detail/Basic/BasicInformation.js                                                 | JavaScript     |        153 |          8 |          4 |        165 |        4.97% |
| pages/customer/maintain/detail/Basic/BasicInformationStatic.js                                           | JavaScript     |        104 |          1 |          3 |        108 |        0.95% |
| pages/customer/maintain/detail/Basic/Contact/ContactModal.js                                             | JavaScript     |         51 |          1 |          3 |         55 |        1.92% |
| pages/customer/maintain/detail/Basic/Contact/api.js                                                      | JavaScript     |          8 |          1 |          3 |         12 |       11.11% |
| pages/customer/maintain/detail/Basic/Contact/index.js                                                    | JavaScript     |        175 |          1 |          4 |        180 |        0.57% |
| pages/customer/maintain/detail/Basic/Contact/store.js                                                    | JavaScript     |         78 |          5 |          1 |         84 |        6.02% |
| pages/customer/maintain/detail/Basic/Enterprises/EnterprisesModal.js                                     | JavaScript     |         76 |          1 |          4 |         81 |        1.30% |
| pages/customer/maintain/detail/Basic/Enterprises/api.js                                                  | JavaScript     |          8 |          1 |          3 |         12 |       11.11% |
| pages/customer/maintain/detail/Basic/Enterprises/index.js                                                | JavaScript     |        201 |          4 |          3 |        208 |        1.95% |
| pages/customer/maintain/detail/Basic/Enterprises/store.js                                                | JavaScript     |         96 |          6 |          4 |        106 |        5.88% |
| pages/customer/maintain/detail/Basic/IndustrialDetail.js                                                 | JavaScript     |        431 |          1 |         16 |        448 |        0.23% |
| pages/customer/maintain/detail/Basic/IndustrialDetailStatic.js                                           | JavaScript     |        391 |          6 |         10 |        407 |        1.51% |
| pages/customer/maintain/detail/Basic/IssueBonds/IssueBondsModal.js                                       | JavaScript     |         60 |          1 |          3 |         64 |        1.64% |
| pages/customer/maintain/detail/Basic/IssueBonds/api.js                                                   | JavaScript     |          8 |          1 |          2 |         11 |       11.11% |
| pages/customer/maintain/detail/Basic/IssueBonds/index.js                                                 | JavaScript     |        191 |          1 |          2 |        194 |        0.52% |
| pages/customer/maintain/detail/Basic/IssueBonds/store.js                                                 | JavaScript     |         84 |         33 |          1 |        118 |       28.21% |
| pages/customer/maintain/detail/Basic/Report.js                                                           | JavaScript     |        112 |          1 |          4 |        117 |        0.88% |
| pages/customer/maintain/detail/Basic/Shareholders/ShareholdersModal.js                                   | JavaScript     |         75 |          1 |          2 |         78 |        1.32% |
| pages/customer/maintain/detail/Basic/Shareholders/api.js                                                 | JavaScript     |          8 |          1 |          3 |         12 |       11.11% |
| pages/customer/maintain/detail/Basic/Shareholders/index.js                                               | JavaScript     |        173 |          5 |          3 |        181 |        2.81% |
| pages/customer/maintain/detail/Basic/Shareholders/store.js                                               | JavaScript     |         79 |          8 |          1 |         88 |        9.20% |
| pages/customer/maintain/detail/Basic/Spouse/SpouseModal.js                                               | JavaScript     |         37 |          2 |          4 |         43 |        5.13% |
| pages/customer/maintain/detail/Basic/Spouse/api.js                                                       | JavaScript     |         10 |          2 |          3 |         15 |       16.67% |
| pages/customer/maintain/detail/Basic/Spouse/index.js                                                     | JavaScript     |        107 |          0 |          4 |        111 |        0.00% |
| pages/customer/maintain/detail/Basic/Spouse/store.js                                                     | JavaScript     |         92 |          4 |          1 |         97 |        4.17% |
| pages/customer/maintain/detail/Basic/SynchronizationModal.js                                             | JavaScript     |        456 |         17 |          7 |        480 |        3.59% |
| pages/customer/maintain/detail/Basic/api.js                                                              | JavaScript     |         67 |         13 |         14 |         94 |       16.25% |
| pages/customer/maintain/detail/Basic/baseUntils.js                                                       | JavaScript     |         50 |          0 |          1 |         51 |        0.00% |
| pages/customer/maintain/detail/Basic/index.js                                                            | JavaScript     |        325 |          3 |         13 |        341 |        0.91% |
| pages/customer/maintain/detail/Basic/index.less                                                          | Less           |        146 |          8 |          5 |        159 |        5.19% |
| pages/customer/maintain/detail/Basic/store.js                                                            | JavaScript     |        370 |         18 |          9 |        397 |        4.64% |
| pages/customer/maintain/detail/Basic/useGetRegion.js                                                     | JavaScript     |         15 |          0 |          2 |         17 |        0.00% |
| pages/customer/maintain/detail/EvaluationInfo/index.js                                                   | JavaScript     |         43 |          0 |          3 |         46 |        0.00% |
| pages/customer/maintain/detail/Financial/Biz.js                                                          | JavaScript     |        268 |         49 |          5 |        322 |       15.46% |
| pages/customer/maintain/detail/Financial/Cash.js                                                         | JavaScript     |        302 |         25 |          8 |        335 |        7.65% |
| pages/customer/maintain/detail/Financial/Debt.js                                                         | JavaScript     |        318 |          5 |         10 |        333 |        1.55% |
| pages/customer/maintain/detail/Financial/DeteleIcon.js                                                   | JavaScript     |         40 |          0 |          5 |         45 |        0.00% |
| pages/customer/maintain/detail/Financial/Gov.js                                                          | JavaScript     |        314 |          4 |          6 |        324 |        1.26% |
| pages/customer/maintain/detail/Financial/Income.js                                                       | JavaScript     |        314 |          3 |          6 |        323 |        0.95% |
| pages/customer/maintain/detail/Financial/Profit.js                                                       | JavaScript     |        314 |          3 |          8 |        325 |        0.95% |
| pages/customer/maintain/detail/Financial/api.js                                                          | JavaScript     |         13 |          1 |          2 |         16 |        7.14% |
| pages/customer/maintain/detail/Financial/columns.js                                                      | JavaScript     |         65 |          0 |          4 |         69 |        0.00% |
| pages/customer/maintain/detail/Financial/index.js                                                        | JavaScript     |         93 |          1 |          4 |         98 |        1.06% |
| pages/customer/maintain/detail/Financial/index.less                                                      | Less           |         62 |          3 |          2 |         67 |        4.62% |
| pages/customer/maintain/detail/Financial/store.js                                                        | JavaScript     |        189 |         11 |          5 |        205 |        5.50% |
| pages/customer/maintain/detail/Public/EnvironmentModal.js                                                | JavaScript     |         47 |          1 |          4 |         52 |        2.08% |
| pages/customer/maintain/detail/Public/ZdwModal.js                                                        | JavaScript     |         35 |          1 |          4 |         40 |        2.78% |
| pages/customer/maintain/detail/Public/api.js                                                             | JavaScript     |         22 |          2 |          3 |         27 |        8.33% |
| pages/customer/maintain/detail/Public/index.js                                                           | JavaScript     |        473 |          3 |          5 |        481 |        0.63% |
| pages/customer/maintain/detail/Public/index.less                                                         | Less           |         47 |          0 |          2 |         49 |        0.00% |
| pages/customer/maintain/detail/Public/store.js                                                           | JavaScript     |        188 |         17 |          5 |        210 |        8.29% |
| pages/customer/maintain/detail/Public/utils.js                                                           | JavaScript     |         35 |          0 |          0 |         35 |        0.00% |
| pages/customer/maintain/detail/[id$].js                                                                  | JavaScript     |         91 |          0 |          6 |         97 |        0.00% |
| pages/customer/maintain/detail/api.js                                                                    | JavaScript     |         10 |          7 |          4 |         21 |       41.18% |
| pages/customer/maintain/detail/general.js                                                                | JavaScript     |        140 |          6 |          7 |        153 |        4.11% |
| pages/customer/maintain/detail/index.less                                                                | Less           |         10 |          0 |          2 |         12 |        0.00% |
| pages/customer/maintain/detail/log/[id$].js                                                              | JavaScript     |         39 |          0 |          4 |         43 |        0.00% |
| pages/customer/maintain/detail/log/api.js                                                                | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/customer/maintain/detail/log/diffInfo/ColumsType.js                                                | JavaScript     |        374 |         10 |          6 |        390 |        2.60% |
| pages/customer/maintain/detail/log/diffInfo/IndustrialLog.js                                             | JavaScript     |        320 |         22 |         10 |        352 |        6.43% |
| pages/customer/maintain/detail/log/diffInfo/[id$].js                                                     | JavaScript     |        431 |          1 |          4 |        436 |        0.23% |
| pages/customer/maintain/detail/log/diffInfo/api.js                                                       | JavaScript     |          4 |          0 |          2 |          6 |        0.00% |
| pages/customer/maintain/detail/log/diffInfo/index.less                                                   | Less           |         51 |          1 |          2 |         54 |        1.92% |
| pages/customer/maintain/detail/log/diffInfo/store.js                                                     | JavaScript     |        100 |         15 |          3 |        118 |       13.04% |
| pages/customer/maintain/detail/log/store.js                                                              | JavaScript     |         18 |          1 |          2 |         21 |        5.26% |
| pages/customer/maintain/detail/store.js                                                                  | JavaScript     |         60 |          7 |          6 |         73 |       10.45% |
| pages/customer/maintain/handover/BaseInfo.js                                                             | JavaScript     |         63 |          0 |          6 |         69 |        0.00% |
| pages/customer/maintain/handover/DataFileList.js                                                         | JavaScript     |         47 |          0 |          3 |         50 |        0.00% |
| pages/customer/maintain/handover/EditSponsorModal.js                                                     | JavaScript     |         40 |          0 |          5 |         45 |        0.00% |
| pages/customer/maintain/handover/Modal.js                                                                | JavaScript     |         32 |          0 |          3 |         35 |        0.00% |
| pages/customer/maintain/handover/RelateProject.js                                                        | JavaScript     |        264 |          0 |          4 |        268 |        0.00% |
| pages/customer/maintain/handover/SuccessModal.js                                                         | JavaScript     |         40 |          0 |          3 |         43 |        0.00% |
| pages/customer/maintain/handover/[id$].js                                                                | JavaScript     |         42 |          0 |          4 |         46 |        0.00% |
| pages/customer/maintain/handover/api.js                                                                  | JavaScript     |         17 |          5 |          4 |         26 |       22.73% |
| pages/customer/maintain/handover/index.less                                                              | Less           |         45 |          0 |          1 |         46 |        0.00% |
| pages/customer/maintain/handover/store.js                                                                | JavaScript     |        136 |          1 |         13 |        150 |        0.73% |
| pages/customer/maintain/index.js                                                                         | JavaScript     |        197 |          5 |          7 |        209 |        2.48% |
| pages/customer/maintain/index.less                                                                       | Less           |         16 |          2 |          1 |         19 |       11.11% |
| pages/customer/maintain/store.js                                                                         | JavaScript     |        128 |          8 |          8 |        144 |        5.88% |
| pages/customer/maintain/utils.js                                                                         | JavaScript     |          9 |          2 |          3 |         14 |       18.18% |
| pages/customer/singeView.js                                                                              | JavaScript     |        105 |          0 |         10 |        115 |        0.00% |
| pages/dashboard/overView/AchievementAnalyze/DeptIncomeByMonthly/BarCharts/index.js                       | JavaScript     |        140 |          4 |          7 |        151 |        2.78% |
| pages/dashboard/overView/AchievementAnalyze/DeptIncomeByMonthly/ListDrawer/Column.js                     | JavaScript     |         99 |          6 |          3 |        108 |        5.71% |
| pages/dashboard/overView/AchievementAnalyze/DeptIncomeByMonthly/ListDrawer/index.js                      | JavaScript     |         60 |          2 |          7 |         69 |        3.23% |
| pages/dashboard/overView/AchievementAnalyze/DeptIncomeByMonthly/Store.js                                 | JavaScript     |        110 |          1 |         17 |        128 |        0.90% |
| pages/dashboard/overView/AchievementAnalyze/DeptIncomeByMonthly/api.js                                   | JavaScript     |          8 |          3 |          3 |         14 |       27.27% |
| pages/dashboard/overView/AchievementAnalyze/DeptIncomeByMonthly/index.js                                 | JavaScript     |         53 |          0 |          6 |         59 |        0.00% |
| pages/dashboard/overView/AchievementAnalyze/ThrowIncomeRate/BarCharts/index.js                           | JavaScript     |         82 |          1 |          5 |         88 |        1.20% |
| pages/dashboard/overView/AchievementAnalyze/ThrowIncomeRate/ListDrawer/Column.js                         | JavaScript     |         72 |          0 |          2 |         74 |        0.00% |
| pages/dashboard/overView/AchievementAnalyze/ThrowIncomeRate/ListDrawer/index.js                          | JavaScript     |         47 |          0 |          4 |         51 |        0.00% |
| pages/dashboard/overView/AchievementAnalyze/ThrowIncomeRate/Store.js                                     | JavaScript     |         73 |          1 |         15 |         89 |        1.35% |
| pages/dashboard/overView/AchievementAnalyze/ThrowIncomeRate/api.js                                       | JavaScript     |          7 |          3 |          3 |         13 |       30.00% |
| pages/dashboard/overView/AchievementAnalyze/ThrowIncomeRate/index.js                                     | JavaScript     |         32 |          0 |          5 |         37 |        0.00% |
| pages/dashboard/overView/AchievementAnalyze/index.js                                                     | JavaScript     |         22 |          0 |          2 |         24 |        0.00% |
| pages/dashboard/overView/AchievementAnalyze/index.less                                                   | Less           |          3 |          0 |          1 |          4 |        0.00% |
| pages/dashboard/overView/AssetsCustomer/AssetsPie/index.js                                               | JavaScript     |         99 |          1 |          6 |        106 |        1.00% |
| pages/dashboard/overView/AssetsCustomer/AssetsPie/index.less                                             | Less           |         18 |          0 |          2 |         20 |        0.00% |
| pages/dashboard/overView/AssetsCustomer/CountCard/index.js                                               | JavaScript     |         65 |          1 |          6 |         72 |        1.52% |
| pages/dashboard/overView/AssetsCustomer/CountCard/index.less                                             | Less           |         62 |          4 |          1 |         67 |        6.06% |
| pages/dashboard/overView/AssetsCustomer/CustomerDrawer/index.js                                          | JavaScript     |         18 |          0 |          3 |         21 |        0.00% |
| pages/dashboard/overView/AssetsCustomer/CustomerPie/index.js                                             | JavaScript     |        114 |          1 |          7 |        122 |        0.87% |
| pages/dashboard/overView/AssetsCustomer/CustomerPie/index.less                                           | Less           |         20 |          0 |          2 |         22 |        0.00% |
| pages/dashboard/overView/AssetsCustomer/Store.js                                                         | JavaScript     |         30 |          3 |          5 |         38 |        9.09% |
| pages/dashboard/overView/AssetsCustomer/index.js                                                         | JavaScript     |         28 |          0 |          3 |         31 |        0.00% |
| pages/dashboard/overView/AssetsCustomer/index.less                                                       | Less           |          7 |          0 |          1 |          8 |        0.00% |
| pages/dashboard/overView/AssetsView/ChinaMap/index.js                                                    | JavaScript     |        121 |          0 |          3 |        124 |        0.00% |
| pages/dashboard/overView/AssetsView/ChinaMap/index.less                                                  | Less           |         32 |          0 |          1 |         33 |        0.00% |
| pages/dashboard/overView/AssetsView/OverviewPanel/index.js                                               | JavaScript     |        159 |          1 |         11 |        171 |        0.63% |
| pages/dashboard/overView/AssetsView/OverviewPanel/index.less                                             | Less           |         73 |          9 |          2 |         84 |       10.98% |
| pages/dashboard/overView/AssetsView/Ranking/RankingDrawer/index.js                                       | JavaScript     |         28 |          0 |          3 |         31 |        0.00% |
| pages/dashboard/overView/AssetsView/Ranking/RankingTable/index.js                                        | JavaScript     |         62 |          0 |          4 |         66 |        0.00% |
| pages/dashboard/overView/AssetsView/Ranking/RankingTable/index.less                                      | Less           |         37 |          0 |          2 |         39 |        0.00% |
| pages/dashboard/overView/AssetsView/Ranking/index.js                                                     | JavaScript     |         42 |          0 |          4 |         46 |        0.00% |
| pages/dashboard/overView/AssetsView/Ranking/index.less                                                   | Less           |          0 |          0 |          1 |          1 |        0.00% |
| pages/dashboard/overView/AssetsView/Store.js                                                             | JavaScript     |         38 |          3 |          6 |         47 |        7.32% |
| pages/dashboard/overView/AssetsView/index.js                                                             | JavaScript     |         32 |          0 |          3 |         35 |        0.00% |
| pages/dashboard/overView/AssetsView/index.less                                                           | Less           |         15 |          0 |          2 |         17 |        0.00% |
| pages/dashboard/overView/BusinessTransformation/index.js                                                 | JavaScript     |         72 |          0 |          4 |         76 |        0.00% |
