Date : 2024-11-08 09:39:50
Directory : ./src
Total : 2407 files,  175638 codes, 34304 comments, 12556 blanks, all 222498 lines, 16.34% comment rate

Languages
+----------------+------------+------------+------------+------------+------------+--------------+
| language       | files      | code       | comment    | blank      | total      | comment rate |
| api/budget/aging/interface/businessAgingApi.ts                                                           | TypeScript     |         78 |        237 |         16 |        331 |       75.24% |
| api/budget/flowCenter/autoWriteOffApi.ts                                                                 | TypeScript     |         37 |         15 |         14 |         66 |       28.85% |
| api/budget/flowCenter/bankFlowCapitalApi.ts                                                              | TypeScript     |         22 |         12 |         11 |         45 |       35.29% |
| api/budget/flowCenter/bankFlowProcessingCenterApi.ts                                                     | TypeScript     |         41 |         20 |         15 |         76 |       32.79% |
| api/budget/flowCenter/businessFundApi.ts                                                                 | TypeScript     |         13 |          7 |          6 |         26 |       35.00% |
| api/budget/flowCenter/flowCenterApi.ts                                                                   | TypeScript     |         27 |         12 |         11 |         50 |       30.77% |
| api/budget/flowCenter/guaranteedFinancialFlow.ts                                                         | TypeScript     |         13 |          7 |          6 |         26 |       35.00% |
| api/budget/flowCenter/interface/autoWriteOffApi.ts                                                       | TypeScript     |        259 |        789 |         28 |      1,076 |       75.29% |
| api/budget/flowCenter/interface/bankFlowCapitalApi.ts                                                    | TypeScript     |         76 |        236 |         18 |        330 |       75.64% |
| api/budget/flowCenter/interface/bankFlowProcessingCenterApi.ts                                           | TypeScript     |        184 |        570 |         28 |        782 |       75.60% |
| api/budget/flowCenter/interface/businessFundApi.ts                                                       | TypeScript     |         61 |        183 |         10 |        254 |       75.00% |
| api/budget/flowCenter/interface/flowCenterApi.ts                                                         | TypeScript     |        208 |        594 |         22 |        824 |       74.06% |
| api/budget/flowCenter/interface/guaranteedFinancialFlow.ts                                               | TypeScript     |         77 |        236 |         12 |        325 |       75.40% |
| api/budget/flowCenter/interface/interfaceManageApi.ts                                                    | TypeScript     |         57 |        165 |         10 |        232 |       74.32% |
| api/budget/flowCenter/interface/thirdCanqiongApi.ts                                                      | TypeScript     |         66 |        206 |         12 |        284 |       75.74% |
| api/budget/flowCenter/interfaceManageApi.ts                                                              | TypeScript     |         11 |          6 |          5 |         22 |       35.29% |
| api/budget/flowCenter/thirdCanqiongApi.ts                                                                | TypeScript     |         17 |          7 |          6 |         30 |       29.17% |
| api/budget/monthlyManagement/interface/monthlyManagementApi.ts                                           | TypeScript     |        339 |        980 |         36 |      1,355 |       74.30% |
| api/budget/monthlyManagement/monthlyManagementApi.ts                                                     | TypeScript     |         40 |         19 |         18 |         77 |       32.20% |
| api/budget/provisioning/interface/provisioning.ts                                                        | TypeScript     |         85 |        246 |         16 |        347 |       74.32% |
| api/budget/provisioning/provisioning.ts                                                                  | TypeScript     |         17 |          9 |          8 |         34 |       34.62% |
| api/common/dataList.ts                                                                                   | TypeScript     |         66 |         17 |         12 |         95 |       20.48% |
| api/common/editableCompare.ts                                                                            | TypeScript     |         33 |         12 |         10 |         55 |       26.67% |
| api/common/fileList.ts                                                                                   | TypeScript     |         99 |         16 |         12 |        127 |       13.91% |
| api/common/flowList.ts                                                                                   | TypeScript     |          9 |          0 |          2 |         11 |        0.00% |
| api/common/interface/dataList.ts                                                                         | TypeScript     |        138 |        407 |         27 |        572 |       74.68% |
| api/common/interface/editableCompare.ts                                                                  | TypeScript     |        599 |      1,050 |         88 |      1,737 |       63.67% |
| api/common/interface/fileList.ts                                                                         | TypeScript     |        185 |        548 |         24 |        757 |       74.76% |
| api/common/interface/irrGenerationApi.ts                                                                 | TypeScript     |         72 |        226 |         14 |        312 |       75.84% |
| api/common/irrGenerationApi.ts                                                                           | TypeScript     |         26 |          8 |          7 |         41 |       23.53% |
| api/cpm/payment/billManage/billManagement.ts                                                             | TypeScript     |         17 |          7 |          6 |         30 |       29.17% |
| api/cpm/payment/billManage/interface/billManagement.ts                                                   | TypeScript     |         43 |        128 |         12 |        183 |       74.85% |
| api/cpm/payment/interface/publicInfoApi.ts                                                               | TypeScript     |        190 |        557 |         18 |        765 |       74.56% |
| api/cpm/payment/publicInfoApi_edited.ts                                                                  | TypeScript     |         25 |         10 |          9 |         44 |       28.57% |
| api/customer/customerRat/customerRatApi.ts                                                               | TypeScript     |         65 |         26 |         22 |        113 |       28.57% |
| api/customer/customerRat/debtRatApi.ts                                                                   | TypeScript     |         47 |         19 |         18 |         84 |       28.79% |
| api/customer/customerRat/interface/customerRatApi.ts                                                     | TypeScript     |        347 |        988 |         44 |      1,379 |       74.01% |
| api/customer/customerRat/interface/debtRatApi.ts                                                         | TypeScript     |        318 |        797 |         36 |      1,151 |       71.48% |
| api/financial/creditManage.ts                                                                            | TypeScript     |         27 |         15 |         11 |         53 |       35.71% |
| api/financial/financialManageOrg.ts                                                                      | TypeScript     |         24 |          8 |          7 |         39 |       25.00% |
| api/financial/fund/fundCostDetailApi.ts                                                                  | TypeScript     |         13 |          7 |          6 |         26 |       35.00% |
| api/financial/fund/interface/fundCostDetailApi.ts                                                        | TypeScript     |         71 |        215 |         12 |        298 |       75.17% |
| api/financial/fund/interface/ourRepaymentAccountApi.ts                                                   | TypeScript     |         74 |        237 |         16 |        327 |       76.21% |
| api/financial/fund/ourRepaymentAccountApi.ts                                                             | TypeScript     |         17 |          9 |          8 |         34 |       34.62% |
| api/financial/fundReceiptAccountApi.ts                                                                   | TypeScript     |         15 |          8 |          7 |         30 |       34.78% |
| api/financial/fundReceiptRepayBaseInfoApi.ts                                                             | TypeScript     |         23 |         11 |          8 |         42 |       32.35% |
| api/financial/fundReceiptRepayBorrowingApi.ts                                                            | TypeScript     |         15 |          6 |          4 |         25 |       28.57% |
| api/financial/fundReceiptRepayCashDepositApi.ts                                                          | TypeScript     |         13 |          6 |          5 |         24 |       31.58% |
